Keyword,Volume,Trend,Growth %,SEO Score,Competition,Avg CPC,Branded,Topics,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026
"photo upload",12100,"stable -18%","-18%",64,"0.06","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",14800,14800,14800,12100,14800,14800,14800,18100,14800,14800,14800,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,12100,14800,12100,12100,12100,12100,14800,12100,14800,14800,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100,12100
"photo download",60500,"stable -13%","-13%",79,"0.01","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",165000,135000,135000,135000,135000,135000,110000,135000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,90500,110000,90500,90500,90500,74000,74000,74000,74000,74000,60500,74000,74000,74000,74000,74000,74000,74000,60500,60500,74000,74000,60500,60500,60500,60500,60500,60500
"photo location",14800,"stable 6%","+6%",59,"0.15","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",14800,12100,12100,12100,12100,14800,12100,14800,14800,14800,14800,18100,18100,14800,14800,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,12100,12100,12100,12100,14800,12100,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,14800,12100,14800,14800,14800,14800,14800
"photo processing",1300,"stable -14%","-14%",6,"0.89","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1900,1900,1900,1900,1900,1900,1600,1900,1600,2400,1900,1600,1900,1600,1600,1600,1900,1600,1600,1900,1900,1900,1600,1900,1600,1600,1900,1600,1900,1900,1300,1600,1600,1600,1300,1300,1300,1600,1300,1300,1300,1000,1000,1300,1300,1300,1300,1000
"ai your photo",480,"declining -54%","-54%",19,"0.58","$0.01",No,"Contains: your photo · Length: Body (3–4 words) · Seasonality: Peaks in December",20,40,70,210,2900,590,480,390,590,590,720,720,720,590,1000,720,880,880,720,720,720,720,480,590,590,590,590,590,720,590,590,720,720,480,480,390,390,720,880,720,720,720,590,480,210,390,260,260
"photo apps free",2900,"stable -2%","-2%",42,"0.28","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",2900,2400,2400,2400,2900,2400,1900,2400,2400,2900,2900,2900,2400,1900,2900,2400,2900,3600,3600,3600,3600,3600,3600,2900,2900,2900,2900,2400,2400,2400,1600,1900,1600,1900,1900,1900,2400,3600,3600,3600,3600,2900,2900,2900,2900,2900,3600,2900
"upload image",110000,"stable -18%","-18%",82,"0.02","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",165000,135000,135000,135000,135000,165000,135000,165000,135000,135000,135000,135000,165000,135000,135000,135000,135000,135000,135000,135000,135000,135000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,135000,135000,110000,110000,110000,110000,110000,90500,90500,90500,110000,90500,90500
"add photo to photo",14800,"declining -41%","-41%",60,"0.14","$0.00",No,"Contains: photo to · Contains: to photo · Contains: add photo · Contains: add photo to · Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,12100,9900,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,18100,18100,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,12100,12100,9900,9900
"photo ai free",5400,"declining -42%","-42%",35,"0.43","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",50,50,90,110,720,720,880,1900,2900,4400,5400,6600,6600,6600,8100,6600,8100,8100,6600,6600,6600,6600,6600,8100,6600,6600,6600,6600,6600,6600,6600,8100,6600,5400,5400,5400,4400,8100,8100,6600,6600,8100,5400,5400,4400,5400,3600,2900
"ai photos",450000,"stable 13%","+13%",67,"0.29","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",12100,12100,14800,18100,165000,60500,60500,74000,135000,135000,165000,201000,246000,165000,246000,201000,246000,246000,246000,246000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,246000,246000,201000,201000,201000,165000,673000,450000,368000,368000,450000,368000,368000,368000,550000,450000,450000
