Keyword,Volume,Trend,Growth %,SEO Score,Competition,Avg CPC,Branded,Topics,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026
"search photos",33100,"stable -6%","-6%",69,"0.09","$0.44",No,"Length: Head (1–2 words) · Seasonality: Evergreen",27100,27100,27100,27100,27100,27100,27100,27100,33100,33100,27100,33100,33100,27100,27100,27100,27100,33100,27100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500,33100,33100,33100,27100,33100,27100,33100,33100,33100,27100,27100,27100,33100
"find photos",8100,"stable 14%","+14%",62,"0.05","$0.69",No,"Length: Head (1–2 words) · Seasonality: Evergreen",9900,8100,8100,8100,8100,9900,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,8100,8100,9900,8100,8100,8100,9900,9900,9900
"search images",110000,"stable -19%","-19%",83,"0.01","$0.92",No,"Contains: search images · Length: Head (1–2 words) · Seasonality: Evergreen",135000,135000,135000,110000,110000,110000,110000,135000,135000,135000,135000,135000,135000,110000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,110000,110000,110000,110000,110000,110000,110000,110000,110000
"search engine",301000,"stable -6%","-6%",88,"0.04","$1.46",No,"Contains: search engine · Length: Head (1–2 words) · Seasonality: Evergreen",301000,301000,301000,368000,301000,368000,301000,368000,301000,301000,301000,301000,301000,368000,368000,368000,301000,368000,301000,301000,301000,368000,301000,301000,301000,301000,301000,301000,673000,823000,301000,301000,301000,301000,301000,301000,246000,301000,301000,301000,246000,301000,246000,301000,246000,301000,246000,246000
"photo search engine",6600,"declining -28%","-28%",59,"0.07","$0.98",No,"Contains: search engine · Contains: photo search · Length: Body (3–4 words) · Seasonality: Evergreen",8100,9900,9900,9900,9900,12100,12100,12100,9900,9900,9900,9900,9900,9900,12100,8100,9900,9900,9900,9900,8100,9900,8100,8100,8100,8100,8100,8100,9900,9900,8100,9900,8100,8100,8100,8100,8100,8100,8100,6600,6600,6600,6600,6600,5400,5400,5400,6600
"search website",14800,"growing 21%","+21%",67,"0.04","$3.47",No,"Length: Head (1–2 words) · Seasonality: Evergreen",14800,14800,14800,14800,12100,14800,12100,18100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,12100,9900,9900,9900,12100,14800,12100,12100,14800,12100,22200,14800,14800,14800,14800
"search photo image",90,"stable 0%","0%",29,"0.12","$0.73",No,"Contains: search photo · Length: Body (3–4 words) · Seasonality: Evergreen",720,720,720,720,720,880,590,590,480,720,590,720,590,590,590,480,590,590,480,590,480,590,590,590,480,480,390,260,90,110,90,110,90,90,70,90,70,90,90,70,70,110,70,90,70,70,90,90
"find images",49500,"stable 7%","+7%",77,"0.02","$0.88",No,"Length: Head (1–2 words) · Seasonality: Evergreen",40500,40500,40500,40500,40500,40500,40500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500,49500,49500,49500,49500,60500
"find photo online",12100,"stable -18%","-18%",63,"0.08","$0.99",No,"Contains: photo online · Contains: find photo · Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,12100,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,12100,12100,12100,12100,12100,12100
"search web",14800,"growing 21%","+21%",67,"0.04","$3.47",No,"Contains: search web · Length: Head (1–2 words) · Seasonality: Evergreen",14800,14800,14800,14800,12100,14800,12100,18100,14800,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,12100,9900,9900,9900,12100,14800,12100,12100,14800,12100,22200,14800,14800,14800,14800
